"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rnh12",6.69787889958478e-17,0.409851782806029,0.843,0.391,1.35725818021186e-12,"5","Rnh1"
"H2-T231",7.18854195274262e-17,0.361152182398514,0.638,0.259,1.45668614130377e-12,"5","H2-T23"
"Csrnp1",7.47863009057703e-17,0.421252762290464,0.614,0.241,1.51546960155453e-12,"5","Csrnp1"
"Atp1a1",7.91644795506679e-17,0.460103971056365,0.85,0.429,1.60418901361473e-12,"5","Atp1a1"
"Baz1a2",7.97018110242005e-17,0.644971069602646,0.89,0.511,1.6150774985944e-12,"5","Baz1a"
"Itga43",8.08634956714658e-17,0.534283086712524,0.756,0.351,1.63861787628658e-12,"5","Itga4"
"St3gal3",8.31432420446287e-17,0.394082726245918,0.504,0.186,1.68481465679236e-12,"5","St3gal3"
"Atpif11",9.34105199741706e-17,0.473120204778174,0.906,0.492,1.89287077675659e-12,"5","Atpif1"
"Nlrp31",9.46149240749947e-17,0.563818374518153,0.575,0.223,1.91727682145569e-12,"5","Nlrp3"
"Cldnd1",9.53840279465106e-17,0.324674400637963,0.465,0.164,1.93286194230809e-12,"5","Cldnd1"
"Tspan13",9.5721481492152e-17,0.566105790711999,0.638,0.263,1.93970010095697e-12,"5","Tspan13"
"Mpc11",1.02434475539348e-16,0.388977359879612,0.819,0.396,2.07573221232935e-12,"5","Mpc1"
"Trim252",1.15472103107981e-16,0.521097981884917,0.669,0.294,2.33992669738014e-12,"5","Trim25"
"Anxa12",1.19476132873109e-16,0.388892992473975,0.543,0.198,2.42106435654067e-12,"5","Anxa1"
"Spint2",1.2297820942444e-16,0.344152413547449,0.331,0.089,2.49203043577684e-12,"5","Spint2"
