"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fzd1",1.00173592542191e-304,0.462849433686355,0.254,0.041,2.02991767927495e-300,"0","Fzd1"
"Grk3",8.96550967319963e-304,0.334344234026624,0.305,0.06,1.81677088017717e-299,"0","Grk3"
"Efemp2",1.93506292294295e-303,0.486948662884558,0.542,0.235,3.92121150705159e-299,"0","Efemp2"
"Epha3",2.88054261804542e-303,0.410635998912491,0.243,0.036,5.83713156120724e-299,"0","Epha3"
"Ppp1r14a",1.11669886287159e-302,0.496967439662491,0.436,0.129,2.26287857572299e-298,"0","Ppp1r14a"
"Cd302",6.54147697071457e-302,0.551827906933843,0.54,0.227,1.3255648933456e-297,"0","Cd302"
"Kcnd3",1.88853546527518e-301,0.643964434073502,0.366,0.099,3.82692826683362e-297,"0","Kcnd3"
"Adamts4",1.47516061911482e-300,0.406755245880761,0.247,0.038,2.98926547857427e-296,"0","Adamts4"
"Ncam1",2.98862200421955e-300,0.604075773129778,0.311,0.068,6.05614362935049e-296,"0","Ncam1"
"Ms4a4d",5.97353924651011e-300,0.328984109161662,0.179,0.015,1.21047799291281e-295,"0","Ms4a4d"
"Prnp",1.07809416846978e-299,0.534574856802792,0.474,0.178,2.18465002298715e-295,"0","Prnp"
"Plcl1",1.16963289275733e-298,0.6284629342115,0.589,0.227,2.37014409388345e-294,"0","Plcl1"
"Itgb3",7.34555949132296e-298,0.346002195866347,0.365,0.093,1.48850417532168e-293,"0","Itgb3"
"Wfdc1",4.23372868057111e-296,0.318550800680085,0.25,0.04,8.57922779830929e-292,"0","Wfdc1"
"Rps7",5.72783304555896e-296,0.590669159927897,0.975,0.873,1.16068808835207e-291,"0","Rps7"
"Loxl2",5.27046770304246e-294,0.505832992901859,0.405,0.122,1.06800757534452e-289,"0","Loxl2"
"Dchs1",5.76495493420309e-292,0.29309669991094,0.273,0.05,1.16821046786691e-287,"0","Dchs1"
"Vldlr",2.04206407820919e-291,0.548137963546682,0.349,0.092,4.13803864808311e-287,"0","Vldlr"
"Sulf2",2.58832621654014e-291,0.544711710936982,0.789,0.403,5.24498424519694e-287,"0","Sulf2"
"Adamts10",9.67601820166612e-291,0.408960138157315,0.564,0.24,1.96074832838562e-286,"0","Adamts10"
"Fcgrt",8.10842125530208e-290,0.521922039366235,0.684,0.337,1.64309048317441e-285,"0","Fcgrt"
"Pde5a",2.4022293728002e-289,0.492236256806554,0.521,0.201,4.86787760104233e-285,"0","Pde5a"
"Plekhh2",2.48833140810909e-288,0.312875034267855,0.262,0.047,5.04235476539227e-284,"0","Plekhh2"
"Gstm1",3.20916766185045e-288,0.525293484700809,0.83,0.437,6.50305734997376e-284,"0","Gstm1"
"Pcdh7",7.07756927704768e-288,0.815996797722236,0.709,0.35,1.43419863830094e-283,"0","Pcdh7"
"Nenf",9.57817092854016e-288,0.598498213076869,0.859,0.496,1.94092055695938e-283,"0","Nenf"
"Arhgap10",7.27710831662618e-287,0.576624251618263,0.824,0.47,1.47463322928113e-282,"0","Arhgap10"
"Selenow",7.71854682598594e-287,0.583668293064588,0.834,0.532,1.56408632881779e-282,"0","Selenow"
"Rpl13",2.86577906018113e-286,0.536026828564853,0.996,0.964,5.80721468755104e-282,"0","Rpl13"
"Spon1",3.50974652383678e-286,0.709925025794682,0.354,0.092,7.11215035590286e-282,"0","Spon1"
"Kdelr3",8.90755329588048e-286,0.363908157307015,0.338,0.087,1.80502659987722e-281,"0","Kdelr3"
